Date,Close/Last,Volume,Open,High,Low
09/10/2019,$0.6189,306269,$0.6243,$0.6298,$0.6
09/09/2019,$0.62,176096,$0.63,$0.6301,$0.62
09/06/2019,$0.62,314192,$0.6241,$0.64,$0.62
09/05/2019,$0.6203,381164,$0.62,$0.632,$0.61
09/04/2019,$0.6201,478187,$0.6,$0.6244,$0.5761
09/03/2019,$0.6002,435067,$0.6296,$0.6296,$0.5826
08/30/2019,$0.6068,865235,$0.67,$0.67,$0.59
08/29/2019,$0.5802,493562,$0.5819,$0.6159,$0.57
08/28/2019,$0.571,401893,$0.5985,$0.63,$0.56
08/27/2019,$0.5946,419679,$0.6,$0.6229,$0.5601
08/26/2019,$0.6101,354287,$0.66,$0.69,$0.6
08/23/2019,$0.6501,326989,$0.6789,$0.72,$0.6331
08/22/2019,$0.6547,360558,$0.7021,$0.7354,$0.6511
08/21/2019,$0.7002,387119,$0.7091,$0.73,$0.6914
08/20/2019,$0.701,559515,$0.69,$0.7335,$0.68
08/19/2019,$0.72,488739,$0.755,$0.7584,$0.6901
08/16/2019,$0.75,879382,$0.7,$0.76,$0.69
08/15/2019,$0.7,680948,$0.65,$0.703,$0.65
08/14/2019,$0.66,990576,$0.579,$0.67,$0.552
08/13/2019,$0.568,807276,$0.6,$0.62,$0.5532
08/12/2019,$0.6051,279233,$0.61,$0.63,$0.591
08/09/2019,$0.6014,400717,$0.6358,$0.64,$0.591
08/08/2019,$0.6275,295465,$0.64,$0.6538,$0.6025
08/07/2019,$0.6024,517447,$0.62,$0.6899,$0.5952
08/06/2019,$0.6,274495,$0.6182,$0.62,$0.5989
08/05/2019,$0.5958,195162,$0.6068,$0.617,$0.59
08/02/2019,$0.59,436773,$0.6107,$0.6405,$0.59
08/01/2019,$0.61,437443,$0.65,$0.65,$0.601
07/31/2019,$0.64,304647,$0.64,$0.68,$0.64
07/30/2019,$0.6545,350068,$0.64,$0.6859,$0.639
07/29/2019,$0.6398,559679,$0.676,$0.69,$0.6398
07/26/2019,$0.67,483482,$0.73,$0.73,$0.67
07/25/2019,$0.705,284665,$0.7252,$0.7392,$0.705
07/24/2019,$0.71,300009,$0.7149,$0.7289,$0.7001
07/23/2019,$0.7,158590,$0.701,$0.7269,$0.7
07/22/2019,$0.7,330617,$0.71,$0.7358,$0.698
07/19/2019,$0.7487,2191756,$0.71,$0.7905,$0.66
07/18/2019,$0.8601,595975,$0.91,$0.91,$0.8252
07/17/2019,$0.8106,391535,$0.903,$0.9183,$0.8105
07/16/2019,$0.9041,471289,$0.88,$0.919,$0.8775
07/15/2019,$0.86,639785,$0.835,$0.92,$0.83
07/12/2019,$0.8253,205627,$0.866,$0.87,$0.822
07/11/2019,$0.8651,245891,$0.86,$0.87,$0.815
07/10/2019,$0.8335,141177,$0.84,$0.8695,$0.821
07/09/2019,$0.8205,291034,$0.83,$0.8739,$0.7901
07/08/2019,$0.8255,230327,$0.79,$0.8353,$0.79
07/05/2019,$0.8053,116386,$0.82,$0.82,$0.7852
07/03/2019,$0.793,84672,$0.7898,$0.82,$0.7701
07/02/2019,$0.7733,150586,$0.8,$0.8275,$0.772
07/01/2019,$0.8,204813,$0.81,$0.828,$0.79
06/28/2019,$0.8052,149972,$0.78,$0.81,$0.774
06/27/2019,$0.7844,148804,$0.78,$0.81,$0.765
06/26/2019,$0.7705,138570,$0.7618,$0.79,$0.76
06/25/2019,$0.755,160496,$0.7864,$0.8099,$0.755
06/24/2019,$0.79,148212,$0.8,$0.8,$0.7715
06/21/2019,$0.7904,269070,$0.81,$0.84,$0.7808
06/20/2019,$0.8276,312478,$0.8333,$0.87,$0.8025
06/19/2019,$0.817,200191,$0.9,$0.9135,$0.817
06/18/2019,$0.8901,924899,$0.86,$0.95,$0.8036
06/17/2019,$0.8402,169265,$0.825,$0.86,$0.82
06/14/2019,$0.8323,185946,$0.87,$0.8783,$0.8
06/13/2019,$0.8401,419885,$0.84,$0.88,$0.81
06/12/2019,$0.8435,752907,$0.7,$0.85,$0.7
06/11/2019,$0.693,232920,$0.6811,$0.7164,$0.68
06/10/2019,$0.665,621903,$0.73,$0.7399,$0.655
06/07/2019,$0.7149,332394,$0.706,$0.7313,$0.695
06/06/2019,$0.6999,626505,$0.72,$0.73,$0.6701
06/05/2019,$0.7117,831551,$0.76,$0.76,$0.7
06/04/2019,$0.7517,536923,$0.79,$0.8005,$0.75
06/03/2019,$0.7728,633502,$0.81,$0.8401,$0.7513
05/31/2019,$0.8365,475755,$0.86,$0.8669,$0.8
